Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","3034","KEYSTONE_3034_1x20mm",125.919378,39.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",195.919378,219.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",125.919378,219.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",195.919378,39.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",266.250668,277.925029,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",126.250668,277.925029,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",265.919378,39.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",195.919378,99.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",55.919378,39.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",125.919378,99.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",196.250668,277.925029,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",265.919378,219.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",125.919378,159.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",56.250668,277.925029,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",55.919378,219.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",55.919378,99.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",265.919378,159.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",195.919378,159.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",265.919378,99.523730,-90.000000,bottom
"BT1","3034","KEYSTONE_3034_1x20mm",55.919378,159.523730,-90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",103.619378,155.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",243.619378,215.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",243.950668,273.825029,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",173.619378,215.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",33.619378,35.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",173.619378,155.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",173.619378,95.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",103.619378,95.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",103.619378,35.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",33.619378,215.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",103.619378,215.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",243.619378,95.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",33.950668,273.825029,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",243.619378,155.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",33.619378,95.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",173.619378,35.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",103.950668,273.825029,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",243.619378,35.423730,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",173.950668,273.825029,90.000000,bottom
"C1","2.2uF","C_0603_1608Metric",33.619378,155.423730,90.000000,bottom
"C2","2.2uF","C_0603_1608Metric",239.519378,215.423730,90.000000,bottom
